id,name,party,sector,country
lk,Lars Klingenberg,SPD,Politik,Deutschland
uvl,Ursula von der Leyen,CDU,Politik,Deutschland
nr,Norbert Roettgen ,CDU,Politik,Deutschland
sw,Sahra Wagenknecht,Die Linke ,Politik,Deutschland
cs,Constanze Stelzenmueller,NA,Justiz,Deutschland
cl,Christian Lindner ,FDP,Politik,Deutschland
ks,Karl Schloegel,NA,Historik,Deutschland
lm,Ljudmyla Melnyk,NA,Projektleitung,Ukraine
kd,Kristina Dunz,NA,Journalismus,Deutschland
el,Egis Levits,NA,Politik,Lettland
ab,Annalena Baerbock,Die Gruenen,Politik,Deutschland
ft,Frans Timmermans,NA,Politik,Niederlande
am,Andrij Melnyk,NA,Politik,Deutschland
agl,Alexander Graf Lambsdorff,FDP,Politik,Deutschland
er,Egon Ramms,NA,Sicherheit,Deutschland
rh,Robert Habeck,Die Gruenen,Politik,Deutschland
cm,Claudia Major,NA,Politikwissenschaft,Deutschland
kp,Katja Petrowskaja,NA,Journalismus,Deutschalnd-Ukraine
rk,Roderich Kiesewetter,CDU,Politik,Deutschland
christineL,Christine Lambrecht,SPD,Politik,Deutschalnd
sb,Stafanie Babst,NA,Wirtschaft,Großbritannien 
ch,Christoph Heusgen,NA,Sicherheit,Deutschland
mw,Marina Weisband,NA,Journalismus,Deutschland-Ukraine 
CDU,CDU,CDU,Politik,Deutschland
SPD,SPD,SPD,Politik,Deutschland
DieGruenen,Die Gruenen,,,
500,Folge 500,,,
501,Folge 501,,,
502,Folge 502,,,
503,Folge 503,,,
504,Folge 504,,,
DieLinke,Die Linke ,,,
FDP,FDP,,,
